ID,Group,Location,Type,Datetime
1,Tech Club,LT100,Tech,15/09/23 18:00
2,Cultural Society,CA101,Cultural,20/08/23 19:30
3,Debate Club,EF501,Politics,18/08/23 11:00
4,Basketball Court,Outdoor,Sport,12/09/23 15:00
5,Music Club,Room A102,Cultural,23/08/23 20:00
6,Tech Club,Online,Tech,22/08/23 16:00
7,Debate Club,EF502,Politics,21/08/23 13:00
8,Basketball Court,Outdoor,Sport,14/09/23 14:30
9,Drama Club,Auditorium,Cultural,16/08/23 17:00
10,Tech Club,Lab 303,Tech,25/08/23 18:00
11,Cultural Society,Hall B,Cultural,05/09/23 19:00
12,Tech Club,LT201,Tech,28/08/23 16:00
13,Debate Club,EF501,Politics,10/08/23 12:30
14,Soccer Team,Outdoor,Sport,19/09/23 17:30
15,Drama Club,Room C103,Cultural,01/09/23 19:15
16,Tech Club,Online,Tech,06/09/23 16:45
17,Debate Club,EF501,Politics,15/08/23 11:30
18,Basketball Court,Outdoor,Sport,08/09/23 15:15
19,Drama Club,Auditorium,Cultural,13/08/23 18:45
20,Football Club,Online,Sport,26/08/23 17:00
21,Cultural Society,Room D104,Cultural,12/10/23 19:45
22,Tech Club,LT300,Tech,18/10/23 16:00
23,Debate Club,EF503,Politics,22/10/23 13:00
24,Soccer Team,Outdoor,Sport,25/10/23 16:30
25,Cultural Society,Main Hall,Cultural,29/10/23 20:15
26,Tech Club,Online,Tech,07/11/23 18:30
27,Debate Club,EF502,Politics,15/11/23 12:00
28,Basketball Court,Outdoor,Sport,14/11/23 15:00
29,Drama Club,Room F101,Cultural,09/11/23 19:30
30,Football Club,Online,Sport,21/11/23 17:45
